gallery;En løs samling billeder fra mit liv, og stort set i kronologisk orden
restaurantskolen.jpg;Min klasse fra grundforløbet på Hotel- og Restaurantskolen i afskedskomsammen på Den Gyldenblonde - Juni 2014
kokkeskolen.jpg;Kreation af Miljømiddag som en del af grundforløbseksamen - Maj 2014
cook.jpg;Står og poserer i mit køkken. Er jeg klar til at gøre madlavning til en levevej? - Januar 2014
familiefest.jpg;Familien mødes i Viborg til fejring af Aases 60 års fødselsdag - Marts 2013
havemand.jpg;En stille stund i efterårshaven - Oktober 2012
kisserup.jpg;Med mor Marie i Kisserup på Ærø - Maj 2012
sisterswedding.jpg;Taina og jeg til min søster Anns brullup - September 2011
familylunch.jpg;Min far Adolf og Taina og jeg nyder vafler ved bysøen i Viborg sammen med Aase og Jonas - Juni 2011
skovpan.jpg;En skovpan er i færd med at bestige Norefjell, Norge
fjeldged.jpg;Ved Høgevarde, Norefjell, Norge
geekme.jpg;Foran datamaten, Besserud, Oslo, Norge
igaardhaven.jpg;Et forårsøjeblik i gårdhaven, Stortorvets Gjæstgiveri, Oslo, Norge
baustebolet.jpg;Baustebølet sæter, Nore og Uvdal, Norge
M09BenteHeleneMoen1962-vi.jpg;Min biologiske mor Bente - 1962
